region,slot_index,utc_timestamp,residual_load_mw,signal_model,source_dataset
DE,19,2018-07-25T19:00:00Z,53725.3,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,20,2018-07-25T20:00:00Z,51130.525,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,21,2018-07-25T21:00:00Z,47174.025,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,22,2018-07-25T22:00:00Z,43793.9,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,23,2018-07-25T23:00:00Z,42288.025,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,24,2018-07-26T00:00:00Z,41136.825,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,25,2018-07-26T01:00:00Z,40997.925,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,26,2018-07-26T02:00:00Z,42279.825,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,27,2018-07-26T03:00:00Z,44968.375,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,28,2018-07-26T04:00:00Z,50540.475,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,29,2018-07-26T05:00:00Z,53671.125,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,30,2018-07-26T06:00:00Z,53303.2,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,31,2018-07-26T07:00:00Z,49628.4,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,32,2018-07-26T08:00:00Z,45952.975,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,33,2018-07-26T09:00:00Z,43197.85,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,34,2018-07-26T10:00:00Z,40200.225,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,35,2018-07-26T11:00:00Z,38775.925,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,36,2018-07-26T12:00:00Z,37933.075,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,37,2018-07-26T13:00:00Z,38870.975,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,38,2018-07-26T14:00:00Z,40763.2,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,39,2018-07-26T15:00:00Z,44263.1,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,40,2018-07-26T16:00:00Z,47963.875,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,41,2018-07-26T17:00:00Z,50974.725,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,42,2018-07-26T18:00:00Z,51125.975,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,43,2018-07-26T19:00:00Z,48086.5,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,44,2018-07-26T20:00:00Z,44090.4,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,45,2018-07-26T21:00:00Z,38573.675,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,46,2018-07-26T22:00:00Z,35634.175,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
DE,47,2018-07-26T23:00:00Z,34308.425,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 15min→1h resample),Energy-Charts / ENTSO-E de 2018-07-25 via https://api.energy-charts.info/public_power?country=de&start=2018-07-25&end=2018-07-27
FR,0,2018-07-25T00:00:00Z,39449.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,1,2018-07-25T01:00:00Z,37596.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,2,2018-07-25T02:00:00Z,37306.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,3,2018-07-25T03:00:00Z,38875.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,4,2018-07-25T04:00:00Z,41083.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,5,2018-07-25T05:00:00Z,44104.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,6,2018-07-25T06:00:00Z,47096.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,7,2018-07-25T07:00:00Z,48930.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,8,2018-07-25T08:00:00Z,49346.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,9,2018-07-25T09:00:00Z,49961.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,10,2018-07-25T10:00:00Z,50588.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,11,2018-07-25T11:00:00Z,49950.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,12,2018-07-25T12:00:00Z,50013.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,13,2018-07-25T13:00:00Z,49441.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,14,2018-07-25T14:00:00Z,48923.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,15,2018-07-25T15:00:00Z,48697.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,16,2018-07-25T16:00:00Z,49770.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,17,2018-07-25T17:00:00Z,50232.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,18,2018-07-25T18:00:00Z,48600.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
FR,19,2018-07-25T19:00:00Z,47406.0,energy_charts_residual_load_minus_wind_solar (real 2018; Load−WindOnshore−WindOffshore−Solar; 60min→1h resample) [absent treated as 0 MW: ['Wind offshore']],Energy-Charts / ENTSO-E fr 2018-07-25 via https://api.energy-charts.info/public_power?country=fr&start=2018-07-25&end=2018-07-27
