region,slot_index,utc_timestamp,price_eur_per_kwh,bzn,source,source_url
DE,36,2018-07-26T12:00:00Z,0.05471,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
DE,37,2018-07-26T13:00:00Z,0.05663,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
DE,38,2018-07-26T14:00:00Z,0.05545,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
DE,39,2018-07-26T15:00:00Z,0.05759,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
DE,40,2018-07-26T16:00:00Z,0.061,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
DE,41,2018-07-26T17:00:00Z,0.06195,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
DE,42,2018-07-26T18:00:00Z,0.06061,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
DE,43,2018-07-26T19:00:00Z,0.0598,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
DE,44,2018-07-26T20:00:00Z,0.05432,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
DE,45,2018-07-26T21:00:00Z,0.04716,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
DE,46,2018-07-26T22:00:00Z,0.0475,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
DE,47,2018-07-26T23:00:00Z,0.04651,DE-AT-LU,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=DE-AT-LU
ES,0,2018-07-25T00:00:00Z,0.06,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,1,2018-07-25T01:00:00Z,0.05793,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,2,2018-07-25T02:00:00Z,0.05743,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,3,2018-07-25T03:00:00Z,0.05843,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,4,2018-07-25T04:00:00Z,0.06246,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,5,2018-07-25T05:00:00Z,0.0639,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,6,2018-07-25T06:00:00Z,0.06533,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,7,2018-07-25T07:00:00Z,0.06639,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,8,2018-07-25T08:00:00Z,0.067,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,9,2018-07-25T09:00:00Z,0.067,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,10,2018-07-25T10:00:00Z,0.06869,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,11,2018-07-25T11:00:00Z,0.06802,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,12,2018-07-25T12:00:00Z,0.06781,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,13,2018-07-25T13:00:00Z,0.067,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,14,2018-07-25T14:00:00Z,0.067,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,15,2018-07-25T15:00:00Z,0.067,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,16,2018-07-25T16:00:00Z,0.0658,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,17,2018-07-25T17:00:00Z,0.0669,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,18,2018-07-25T18:00:00Z,0.06567,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,19,2018-07-25T19:00:00Z,0.06666,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,20,2018-07-25T20:00:00Z,0.06639,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,21,2018-07-25T21:00:00Z,0.06539,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,22,2018-07-25T22:00:00Z,0.06567,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,23,2018-07-25T23:00:00Z,0.06423,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,24,2018-07-26T00:00:00Z,0.0635,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,25,2018-07-26T01:00:00Z,0.06221,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,26,2018-07-26T02:00:00Z,0.06221,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,27,2018-07-26T03:00:00Z,0.06318,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,28,2018-07-26T04:00:00Z,0.06439,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,29,2018-07-26T05:00:00Z,0.06501,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,30,2018-07-26T06:00:00Z,0.06609,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,31,2018-07-26T07:00:00Z,0.06709,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,32,2018-07-26T08:00:00Z,0.068,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,33,2018-07-26T09:00:00Z,0.06809,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,34,2018-07-26T10:00:00Z,0.06898,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,35,2018-07-26T11:00:00Z,0.06899,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,36,2018-07-26T12:00:00Z,0.068,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,37,2018-07-26T13:00:00Z,0.06722,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,38,2018-07-26T14:00:00Z,0.067,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,39,2018-07-26T15:00:00Z,0.06709,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,40,2018-07-26T16:00:00Z,0.06719,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,41,2018-07-26T17:00:00Z,0.0693,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,42,2018-07-26T18:00:00Z,0.0663,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,43,2018-07-26T19:00:00Z,0.06536,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,44,2018-07-26T20:00:00Z,0.0657,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,45,2018-07-26T21:00:00Z,0.06364,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,46,2018-07-26T22:00:00Z,0.0655,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
ES,47,2018-07-26T23:00:00Z,0.06421,ES,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=ES
FR,0,2018-07-25T00:00:00Z,0.04908,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,1,2018-07-25T01:00:00Z,0.0487,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,2,2018-07-25T02:00:00Z,0.04823,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,3,2018-07-25T03:00:00Z,0.04979,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,4,2018-07-25T04:00:00Z,0.05571,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,5,2018-07-25T05:00:00Z,0.06296,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,6,2018-07-25T06:00:00Z,0.065,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,7,2018-07-25T07:00:00Z,0.06507,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,8,2018-07-25T08:00:00Z,0.065,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,9,2018-07-25T09:00:00Z,0.0632,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,10,2018-07-25T10:00:00Z,0.05974,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,11,2018-07-25T11:00:00Z,0.05887,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,12,2018-07-25T12:00:00Z,0.05792,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,13,2018-07-25T13:00:00Z,0.05854,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,14,2018-07-25T14:00:00Z,0.06285,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,15,2018-07-25T15:00:00Z,0.067,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,16,2018-07-25T16:00:00Z,0.0658,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,17,2018-07-25T17:00:00Z,0.0669,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,18,2018-07-25T18:00:00Z,0.06545,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,19,2018-07-25T19:00:00Z,0.06437,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,20,2018-07-25T20:00:00Z,0.06202,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,21,2018-07-25T21:00:00Z,0.05521,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,22,2018-07-25T22:00:00Z,0.05002,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,23,2018-07-25T23:00:00Z,0.0484,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,24,2018-07-26T00:00:00Z,0.0475,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,25,2018-07-26T01:00:00Z,0.04675,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,26,2018-07-26T02:00:00Z,0.04635,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,27,2018-07-26T03:00:00Z,0.04734,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,28,2018-07-26T04:00:00Z,0.05228,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,29,2018-07-26T05:00:00Z,0.06077,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,30,2018-07-26T06:00:00Z,0.06408,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,31,2018-07-26T07:00:00Z,0.06421,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,32,2018-07-26T08:00:00Z,0.06576,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,33,2018-07-26T09:00:00Z,0.06565,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,34,2018-07-26T10:00:00Z,0.063,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
FR,35,2018-07-26T11:00:00Z,0.06378,FR,Energy-Charts day-ahead price API,https://api.energy-charts.info/price?bzn=FR
