pod_id,algorithm,timestamp,success,execution_time,emissions,node,timeslot,considered_options,solver_iterations,solver_status
m055-duration-3h-deadline-9h,optimal,1742741682.2921095,True,0.010380983352661133,0.23845969528459696,node-5-fr-smartphone,6,54,0,Optimal
m056-duration-6h-deadline-30h,optimal,1742741682.30859,True,0.01450967788696289,0.3374193905691939,node-5-fr-smartphone,9,215,0,Optimal
m057-duration-1h-deadline-3h,optimal,1742741696.9493032,True,0.01674199104309082,0.04358656509486565,node-1-fr-smartphone,1,16,0,Optimal
m058-duration-3h-deadline-9h,optimal,1742741696.966596,True,0.015615701675415039,0.24595969528459694,node-5-fr-smartphone,7,52,0,Optimal
m059-duration-6h-deadline-30h,optimal,1742741697.0010364,True,0.0326075553894043,0.7559193905691939,node-5-fr-smartphone,10,214,0,Optimal
m060-duration-1h-deadline-3h,optimal,1742741697.0205278,True,0.016974449157714844,0.08198656509486565,node-1-fr-smartphone,1,16,0,Optimal
m061-duration-3h-deadline-5h,optimal,1742741697.032838,True,0.009911298751831055,0.38995969528459695,node-5-fr-smartphone,1,28,0,Optimal
m062-duration-6h-deadline-8h,optimal,1742741697.0422506,True,0.007863283157348633,4.695618414120126,node-4-de-iot,2,42,0,Optimal
m063-duration-1h-deadline-25h,optimal,1742741697.0549529,True,0.011873006820678711,0.07948656509486565,node-1-fr-smartphone,3,184,0,Optimal
m064-duration-3h-deadline-27h,optimal,1742741697.0699344,True,0.013911247253417969,0.12685969528459695,node-5-fr-smartphone,9,195,0,Optimal
m065-duration-6h-deadline-8h,optimal,1742741697.078306,True,0.007337331771850586,0.4769193905691939,node-5-fr-smartphone,6,43,0,Optimal
m066-duration-1h-deadline-3h,optimal,1742741697.0863676,True,0.007133007049560547,0.04358656509486565,node-1-fr-smartphone,1,16,0,Optimal
m067-duration-3h-deadline-27h,optimal,1742741736.4215157,True,0.013853073120117188,0.38995969528459695,node-1-fr-smartphone,14,178,0,Optimal
m068-duration-6h-deadline-12h,optimal,1742741736.4305506,True,0.00789785385131836,1.5285184141201265,node-0-de-iot,2,58,0,Optimal
m069-duration-1h-deadline-25h,optimal,1742741736.4536781,True,0.02117180824279785,0.04228656509486565,node-1-fr-smartphone,3,170,0,Optimal
m070-duration-3h-deadline-5h,optimal,1742741736.462812,True,0.0076639652252197266,0.413959695284597,node-5-fr-smartphone,0,21,0,Optimal
m071-duration-6h-deadline-8h,optimal,1742741736.4764602,True,0.012590646743774414,1.5285184141201265,node-0-de-iot,2,35,0,Optimal
m072-duration-1h-deadline-3h,optimal,1742741736.486019,True,0.008538246154785156,0.08198656509486565,node-5-fr-smartphone,1,15,0,Optimal
m073-duration-3h-deadline-9h,optimal,1742741736.4969647,True,0.009778738021850586,0.13855969528459694,node-5-fr-smartphone,0,41,0,Optimal
m074-duration-6h-deadline-12h,optimal,1742741736.5098884,True,0.011828184127807617,2.9361184141201266,node-0-de-iot,2,58,0,Optimal
m075-duration-1h-deadline-7h,optimal,1742741736.5208962,True,0.009618520736694336,0.08198656509486565,node-1-fr-smartphone,2,37,0,Optimal
m076-duration-3h-deadline-27h,optimal,1742741736.5406322,True,0.018283605575561523,0.38995969528459695,node-1-fr-smartphone,14,178,0,Optimal
m077-duration-6h-deadline-8h,optimal,1742741736.5533373,True,0.01089620590209961,4.695618414120126,node-0-de-iot,2,35,0,Optimal
m078-duration-1h-deadline-7h,optimal,1742741736.563166,True,0.008719921112060547,0.07948656509486565,node-1-fr-smartphone,3,38,0,Optimal
m079-duration-3h-deadline-9h,optimal,1742741796.7140272,True,0.02907705307006836,0.13855969528459694,node-5-fr-smartphone,0,33,0,Optimal
m080-duration-6h-deadline-12h,optimal,1742741796.7266002,True,0.011324167251586914,5.547618414120127,node-4-de-iot,8,50,0,Optimal
m081-duration-1h-deadline-7h,optimal,1742741796.737394,True,0.009658575057983398,0.12598656509486564,node-1-fr-smartphone,3,34,0,Optimal
m082-duration-3h-deadline-9h,optimal,1742741796.7495513,True,0.01132512092590332,0.13855969528459694,node-5-fr-smartphone,0,41,0,Optimal
m083-duration-6h-deadline-8h,optimal,1742741796.7606943,True,0.009915351867675781,5.293701524096985,node-6-es-laptop,1,28,0,Optimal
m084-duration-1h-deadline-3h,optimal,1742741796.7713227,True,0.009511947631835938,0.057986565094865654,node-5-fr-smartphone,1,15,0,Optimal
m085-duration-3h-deadline-5h,optimal,1742741796.7800503,True,0.007554054260253906,0.413959695284597,node-5-fr-smartphone,0,17,0,Optimal
m086-duration-6h-deadline-30h,optimal,1742741796.7938812,True,0.013033151626586914,0.7799193905691939,node-5-fr-smartphone,14,189,0,Optimal
m087-duration-1h-deadline-25h,optimal,1742741796.8192997,True,0.021985769271850586,0.08198656509486565,node-1-fr-smartphone,11,162,0,Optimal
m088-duration-3h-deadline-5h,optimal,1742741796.8292844,True,0.008947134017944336,0.413959695284597,node-5-fr-smartphone,0,17,0,Optimal
m089-duration-6h-deadline-12h,optimal,1742741796.8480625,True,0.016704559326171875,5.547618414120127,node-4-de-iot,8,50,0,Optimal
m090-duration-1h-deadline-25h,optimal,1742741796.8629348,True,0.013883113861083984,0.12598656509486564,node-1-fr-smartphone,3,162,0,Optimal
m091-duration-3h-deadline-9h,optimal,1742741796.8735807,True,0.009345531463623047,0.413959695284597,node-5-fr-smartphone,0,33,0,Optimal
m092-duration-6h-deadline-8h,optimal,1742741839.6769776,True,0.010277271270751953,2.0563684141201266,node-0-de-iot,2,35,0,Optimal
m093-duration-1h-deadline-7h,optimal,1742741839.7045164,True,0.023444652557373047,0.057986565094865654,node-1-fr-smartphone,2,30,0,Optimal
m094-duration-3h-deadline-27h,optimal,1742741839.725475,True,0.01915287971496582,0.13075969528459694,node-5-fr-smartphone,14,162,0,Optimal
m095-duration-6h-deadline-12h,optimal,1742741839.7352831,True,0.008641958236694336,2.0563684141201266,node-0-de-iot,2,55,0,Optimal
m096-duration-1h-deadline-7h,optimal,1742741839.7504768,True,0.013821125030517578,0.12998656509486564,node-1-fr-smartphone,2,30,0,Optimal
m097-duration-3h-deadline-27h,optimal,1742741839.7654834,True,0.013665199279785156,0.40195969528459696,node-5-fr-smartphone,15,156,0,Optimal
m098-duration-6h-deadline-8h,optimal,1742741839.7758663,True,0.009032249450683594,7.834701524096985,node-6-es-laptop,1,28,0,Optimal
m099-duration-1h-deadline-3h,optimal,1742741839.7864425,True,0.009223699569702148,0.06148656509486566,node-1-fr-smartphone,0,13,0,Optimal
m100-duration-3h-deadline-5h,optimal,1742741839.797326,True,0.008397817611694336,1.0281842070600633,node-0-de-iot,2,20,0,Optimal
m101-duration-6h-deadline-30h,optimal,1742741839.814227,True,0.015669822692871094,0.2615193905691939,node-1-fr-smartphone,14,195,0,Optimal
m102-duration-1h-deadline-25h,optimal,1742741839.8275266,True,0.012443304061889648,0.12998656509486564,node-1-fr-smartphone,2,150,0,Optimal
m103-duration-3h-deadline-9h,optimal,1742741839.8361733,True,0.007869958877563477,5.505475762048492,node-6-es-laptop,1,32,0,Optimal
m104-duration-6h-deadline-30h,optimal,1742741839.8548563,True,0.017837047576904297,0.8039193905691939,node-5-fr-smartphone,15,180,0,Optimal
