region,slot_index,utc_timestamp,residual_load_mw,signal_model,source_dataset
DE,46,2017-07-26T22:00:00Z,36577.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,47,2017-07-26T23:00:00Z,33739.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,48,2017-07-27T00:00:00Z,32590.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,49,2017-07-27T01:00:00Z,32804.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,50,2017-07-27T02:00:00Z,33408.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,51,2017-07-27T03:00:00Z,36768.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,52,2017-07-27T04:00:00Z,43775.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,53,2017-07-27T05:00:00Z,48980.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,54,2017-07-27T06:00:00Z,50625.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,55,2017-07-27T07:00:00Z,49919.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,56,2017-07-27T08:00:00Z,49665.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,57,2017-07-27T09:00:00Z,49817.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,58,2017-07-27T10:00:00Z,48066.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,59,2017-07-27T11:00:00Z,46266.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,60,2017-07-27T12:00:00Z,45112.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,61,2017-07-27T13:00:00Z,45710.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,62,2017-07-27T14:00:00Z,46219.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,63,2017-07-27T15:00:00Z,49018.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,64,2017-07-27T16:00:00Z,51590.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,65,2017-07-27T17:00:00Z,54037.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,66,2017-07-27T18:00:00Z,53502.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,67,2017-07-27T19:00:00Z,51671.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,68,2017-07-27T20:00:00Z,48386.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,69,2017-07-27T21:00:00Z,43273.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,70,2017-07-27T22:00:00Z,38875.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,71,2017-07-27T23:00:00Z,36880.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,72,2017-07-28T00:00:00Z,35478.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,73,2017-07-28T01:00:00Z,34833.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,74,2017-07-28T02:00:00Z,35366.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
DE,75,2017-07-28T03:00:00Z,37388.0,residual_load_lite_load_minus_wind_solar,OPSD time_series 2020-10-06
