region,reference_location,latitude,longitude,weather_site_source_note,weather_site_confidence,slot_index,forecast_datetime_utc,weather_time_utc,dry_bulb_c,wet_bulb_c,wet_bulb_f,model_wet_bulb_f,cooling_scenario,cooling_profile,activation_rule,activation_logic,evaporative_mode_active,dry_mode_wue_l_per_kwh,wet_tower_wue_l_per_kwh,evap_multiplier,evap_activation_dry_bulb_c,evap_activation_wet_bulb_c,direct_wue_l_per_kwh,model,source_dataset,source_url,cooling_profile_source_basis,cooling_profile_notes
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,10,2025-02-26T20:00:00.000Z,2025-02-26T20:00,6.3,4.5,40.1,40.1,base,hybrid_economized,threshold,any,False,0.03,1.380416304,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,11,2025-02-26T21:00:00.000Z,2025-02-26T21:00,5.3,3.7,38.660000000000004,38.660000000000004,base,hybrid_economized,threshold,any,False,0.03,1.35735167424,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,12,2025-02-26T22:00:00.000Z,2025-02-26T22:00,4.9,3.3,37.94,37.94,base,hybrid_economized,threshold,any,False,0.03,1.34552449344,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,13,2025-02-26T23:00:00.000Z,2025-02-26T23:00,4.5,3.1,37.58,37.58,base,hybrid_economized,threshold,any,False,0.03,1.3395371865599999,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,14,2025-02-27T00:00:00.000Z,2025-02-27T00:00,4.8,3.3,37.94,37.94,base,hybrid_economized,threshold,any,False,0.03,1.34552449344,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,15,2025-02-27T01:00:00.000Z,2025-02-27T01:00,5.0,3.7,38.660000000000004,38.660000000000004,base,hybrid_economized,threshold,any,False,0.03,1.35735167424,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,16,2025-02-27T02:00:00.000Z,2025-02-27T02:00,5.4,3.9,39.02,39.02,base,hybrid_economized,threshold,any,False,0.03,1.36319154816,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,17,2025-02-27T03:00:00.000Z,2025-02-27T03:00,5.1,4.0,39.2,39.2,base,hybrid_economized,threshold,any,False,0.03,1.366093056,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,18,2025-02-27T04:00:00.000Z,2025-02-27T04:00,4.9,3.9,39.02,39.02,base,hybrid_economized,threshold,any,False,0.03,1.36319154816,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,19,2025-02-27T05:00:00.000Z,2025-02-27T05:00,4.7,3.6,38.48,38.48,base,hybrid_economized,threshold,any,False,0.03,1.3544133081599998,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
