subcategory,embodied_water_l,embodied_scarcity_cf,manufacturing_country,source_status,source_ids,source_note
IoT,57.240000,6.151048,CN,bounded_component_model,bardon2020ppace;dell2019r740lca;jiang2025thirstyflops;kuo2020packaging;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
Laptop,517.000000,5.437331,CN,bounded_component_model,bardon2020ppace;dell2019r740lca;dell2025r760lca;jiang2025thirstyflops;kuo2020packaging;seagate2020nytro3331;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
Server,2289.600000,4.255695,KR,bounded_component_model,bardon2020ppace;dell2019r740lca;dell2025r760lca;jiang2025thirstyflops;kuo2020packaging;seagate2020nytro3331;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
Smartphone,141.440000,5.145192,CN,bounded_component_model,bardon2020ppace;dell2019r740lca;jiang2025thirstyflops;kuo2020packaging;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
