region,reference_location,latitude,longitude,slot_index,forecast_datetime_utc,weather_time_utc,wet_bulb_c,wet_bulb_f,model_wet_bulb_f,direct_wue_l_per_kwh,model,source_dataset,source_url
DE,Frankfurt,50.1109,8.6821,15,2025-02-27T01:00:00.000Z,2025-02-27T01:00,3.7,38.660000000000004,38.660000000000004,1.35735167424,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,16,2025-02-27T02:00:00.000Z,2025-02-27T02:00,3.9,39.02,39.02,1.36319154816,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,17,2025-02-27T03:00:00.000Z,2025-02-27T03:00,4.0,39.2,39.2,1.366093056,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,18,2025-02-27T04:00:00.000Z,2025-02-27T04:00,3.9,39.02,39.02,1.36319154816,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,19,2025-02-27T05:00:00.000Z,2025-02-27T05:00,3.6,38.48,38.48,1.3544133081599998,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,20,2025-02-27T06:00:00.000Z,2025-02-27T06:00,3.4,38.12,38.12,1.34849971776,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,21,2025-02-27T07:00:00.000Z,2025-02-27T07:00,3.5,38.3,38.3,1.3514626559999998,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,22,2025-02-27T08:00:00.000Z,2025-02-27T08:00,3.9,39.02,39.02,1.36319154816,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,23,2025-02-27T09:00:00.000Z,2025-02-27T09:00,4.2,39.56,39.56,1.37185921344,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,24,2025-02-27T10:00:00.000Z,2025-02-27T10:00,4.7,40.46,40.46,1.38605960064,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
