subcategory,embodied_water_l,embodied_scarcity_cf,manufacturing_country,source_status,source_ids,source_note
IoT,37.160000,6.131432,CN,bounded_component_model,bardon2020ppace;dell2019r740lca;jiang2025thirstyflops;kuo2020packaging;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
Laptop,337.400000,5.355542,CN,bounded_component_model,bardon2020ppace;dell2019r740lca;dell2025r760lca;jiang2025thirstyflops;kuo2020packaging;seagate2020nytro3331;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
Server,1562.400000,4.175858,KR,bounded_component_model,bardon2020ppace;dell2019r740lca;dell2025r760lca;jiang2025thirstyflops;kuo2020packaging;seagate2020nytro3331;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
Smartphone,91.960000,5.107590,CN,bounded_component_model,bardon2020ppace;dell2019r740lca;jiang2025thirstyflops;kuo2020packaging;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
