region,country_code,site,latitude,longitude,annual_cf,jan_cf,feb_cf,mar_cf,apr_cf,may_cf,jun_cf,jul_cf,aug_cf,sep_cf,oct_cf,nov_cf,dec_cf,source_dataset,source_url
DE,DE,Frankfurt am Main metro proxy,50.1109,8.6821,1.4,0.614,0.72,0.679,0.886,0.968,1.05,1.38,2.26,3.1,2.83,1.36,0.95,"AWARE2.0 native CFs (geospatial), WULCA",https://zenodo.org/records/16332127/files/AWARE20_Native_CFs_geospatial.gpkg
FR,FR,Paris metro proxy,48.8566,2.3522,3.28,0.853,0.995,1.0,1.35,1.6,2.13,3.94,7.01,9.34,7.63,2.23,1.12,"AWARE2.0 native CFs (geospatial), WULCA",https://zenodo.org/records/16332127/files/AWARE20_Native_CFs_geospatial.gpkg
ES,ES,Madrid metro proxy,40.4168,-3.7038,3.99,1.76,2.22,2.02,2.48,3.75,7.96,7.69,5.47,4.65,4.49,2.9,2.39,"AWARE2.0 native CFs (geospatial), WULCA",https://zenodo.org/records/16332127/files/AWARE20_Native_CFs_geospatial.gpkg
IT-NO,IT,Milan metro proxy,45.4642,9.19,0.992,0.758,0.91,0.751,0.673,0.477,0.7,1.83,3.25,1.01,0.543,0.397,0.564,"AWARE2.0 native CFs (geospatial), WULCA",https://zenodo.org/records/16332127/files/AWARE20_Native_CFs_geospatial.gpkg
