country_name,country_code,withdrawal_gal_per_kwh,consumption_gal_per_kwh,withdrawal_l_per_kwh,consumption_l_per_kwh,source_dataset,source_url
Malaysia,MY,652.5901114353791,0.44323045555274504,2470.322297949357,1.6778097894770492,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Malta,MT,23.47559250510037,0.29547342642355084,88.86478450518902,1.1184885902425663,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Mexico,MX,123.76769057513818,1.4013616642078204,468.51167438159376,5.304730957338134,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Netherlands,NL,184.12353163418072,0.9069137350173526,696.9833863597245,3.43304193960614,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
New Zealand,NZ,459.80401418964067,3.9541573237280847,1740.547533643969,14.968113729030195,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Norway,NO,2188.521257089292,1.7602751886758257,8284.454156120299,6.663366442296294,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Poland,PL,57.30610654735984,0.6639898318767556,216.9272110195355,2.5134749340424496,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Portugal,PT,388.7169960849379,2.5342570981649115,1471.4538976210056,9.593206683079101,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Romania,RO,120.29824653488454,1.9433313837053607,455.3784000276891,7.356309520095298,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Russia,RU,546.0468108357198,0.9139170012652998,2067.012032353153,3.459552186187609,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Slovakia,SK,273.1897660730277,1.5309322347509748,1034.1357597610424,5.795208921931795,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Slovenia,SI,3912.0797758561953,0.7864185159132443,14808.83288347412,2.9769179172937865,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
South Korea,KR,67.553135911628,0.4986722620907847,255.71643672603022,1.8876798572723927,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Spain,ES,77.64887449915483,1.6401879097028798,293.9329645434378,6.208786641363608,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Sweden,SE,997.5480741415561,1.5933571467596037,3776.130234961952,6.031512919464421,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Switzerland,CH,2201.2014324397646,1.496312788262679,8332.453841315164,5.664160061239442,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Taiwan,TW,123.13516377270436,0.39325485049384146,466.11729996996496,1.4886315451745455,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Thailand,TH,219.6490981728391,0.7635161050060608,831.462284568438,2.890222861163724,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Ukraine,UA,249.42136749582482,0.5628426718591573,944.1625837000898,2.130591282593699,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
