subcategory,embodied_water_l,embodied_scarcity_cf,manufacturing_country,source_status,source_ids,source_note
IoT,23.440000,6.105631,CN,bounded_component_model,bardon2020ppace;dell2019r740lca;jiang2025thirstyflops;kuo2020packaging;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
Laptop,211.000000,5.224408,CN,bounded_component_model,bardon2020ppace;dell2019r740lca;dell2025r760lca;jiang2025thirstyflops;kuo2020packaging;seagate2020nytro3331;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
Server,1044.800000,4.038400,KR,bounded_component_model,bardon2020ppace;dell2019r740lca;dell2025r760lca;jiang2025thirstyflops;kuo2020packaging;seagate2020nytro3331;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
Smartphone,59.640000,5.074547,CN,bounded_component_model,bardon2020ppace;dell2019r740lca;jiang2025thirstyflops;kuo2020packaging;skhynix2020water;skhynix2021productenvironment,Component-derived embodied-water inventory aggregated offline; embodied scarcity factor is a raw-water-weighted AWARE average over component manufacturing countries.
