subcategory,embodied_carbon_kg,uncalibrated_component_carbon_kg,calibration_factor,anchor_kgco2e_base,anchor_kgco2e_low,anchor_kgco2e_high,within_anchor_band,source_status,anchor_source,anchor_method,source_ids,source_note
IoT,17.659929,18.000000,0.981107,27.471000,,,,calibrated_component_model,Boavizta functional-block or Pirson-Bol IoT estimate,bottom_up_anchor,boaviztaFunctionalBlock;pirson2021,Component-derived embodied-carbon inventory aggregated offline. Per-subcategory base totals are calibrated to the configured anchor when available; low/high scenarios reuse the same calibration factor to preserve uncertainty structure.
Laptop,90.073605,85.000000,1.059689,201.341000,90.000000,286.431000,true,calibrated_component_model,Apple MacBook Air PER plus Dell XPS 14 PCF,hybrid_product_pcf_nonuse,appleMacbookAir2025;boaviztaRam;boaviztaSsd;dellXps14Pcf;gcc2021;tannu2022ssd,Component-derived embodied-carbon inventory aggregated offline. Per-subcategory base totals are calibrated to the configured anchor when available; low/high scenarios reuse the same calibration factor to preserve uncertainty structure.
Server,854.720000,854.720000,1.000000,1230.656000,,,,calibrated_component_model,Boavizta or GCC-style server estimate,boavizta_anchor,boaviztaCpu;boaviztaEmbedded;boaviztaRam;boaviztaServer;boaviztaSsd;gcc2021;tannu2022ssd,Component-derived embodied-carbon inventory aggregated offline. Per-subcategory base totals are calibrated to the configured anchor when available; low/high scenarios reuse the same calibration factor to preserve uncertainty structure.
Smartphone,46.260377,46.000000,1.005660,53.300000,45.920000,60.680000,true,calibrated_component_model,Apple iPhone 16 Product Environmental Report,product_pcf_nonuse,appleIphone16Per;boaviztaFunctionalBlock;cordella2021smartphone;ericssonSmartphone;fairphone2Lca;pirson2021,Component-derived embodied-carbon inventory aggregated offline. Per-subcategory base totals are calibrated to the configured anchor when available; low/high scenarios reuse the same calibration factor to preserve uncertainty structure.
